2026-07-21 12:39:22,509 | 127.0.0.1 | GET | /api/v1/documents | 200 | 5.25 ms
2026-07-21 12:39:22,524 | 127.0.0.1 | GET | /api/v1/history | 200 | 6.56 ms
2026-07-21 12:39:25,725 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.24 ms
2026-07-21 12:39:25,739 | 127.0.0.1 | GET | /api/v1/history | 200 | 5.66 ms
2026-07-21 12:39:29,784 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.63 ms
2026-07-21 12:39:29,797 | 127.0.0.1 | GET | /api/v1/history | 200 | 4.29 ms
2026-07-21 12:39:33,257 | 127.0.0.1 | GET | /api/v1/documents | 200 | 5.00 ms
2026-07-21 12:39:33,275 | 127.0.0.1 | GET | /api/v1/history | 200 | 7.94 ms
2026-07-21 12:39:36,695 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.31 ms
2026-07-21 12:39:36,710 | 127.0.0.1 | GET | /api/v1/history | 200 | 5.31 ms
2026-07-21 12:47:43,044 | 127.0.0.1 | GET | /api/v1/documents | 200 | 19.61 ms
2026-07-21 12:47:43,063 | 127.0.0.1 | GET | /api/v1/history | 200 | 10.33 ms
2026-07-21 12:47:53,245 | 127.0.0.1 | GET | /api/v1/documents | 200 | 5.72 ms
2026-07-21 12:48:05,991 | 127.0.0.1 | POST | /api/v1/upload | 201 | 10168.81 ms
2026-07-21 12:48:06,027 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.41 ms
2026-07-21 12:48:06,042 | 127.0.0.1 | GET | /api/v1/history | 200 | 5.28 ms
2026-07-21 12:48:48,490 | 127.0.0.1 | GET | /api/v1/documents | 200 | 4.90 ms
2026-07-21 12:49:10,669 | 127.0.0.1 | POST | /api/v1/query | 200 | 22170.03 ms
2026-07-21 12:53:19,490 | 127.0.0.1 | GET | /api/v1/documents | 200 | 10.39 ms
2026-07-21 12:55:28,510 | 127.0.0.1 | GET | /api/v1/documents | 200 | 29.00 ms
2026-07-21 12:55:28,535 | 127.0.0.1 | GET | /api/v1/history | 200 | 13.73 ms
2026-07-21 14:27:31,163 | 127.0.0.1 | GET | /api/v1/documents | 200 | 19.27 ms
2026-07-21 14:27:31,180 | 127.0.0.1 | GET | /api/v1/history | 200 | 9.17 ms
2026-07-21 14:27:44,561 | 127.0.0.1 | GET | /api/v1/documents | 200 | 5.54 ms
2026-07-21 14:27:44,579 | 127.0.0.1 | GET | /api/v1/history | 200 | 7.81 ms
2026-07-21 14:44:26,646 | 127.0.0.1 | GET | /api/v1/documents | 200 | 20.62 ms
